"COUNTRY","Country","SEX","Sex","SERIES","Series","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","MW","All persons","LPI","Low Pay Incidence","1975","1975","IDX","Index","0","Units",,,11.2508553764836,,
"AUS","Australia","MW","All persons","LPI","Low Pay Incidence","1976","1976","IDX","Index","0","Units",,,11.5901026182027,,
"AUS","Australia","MW","All persons","LPI","Low Pay Incidence","1977","1977","IDX","Index","0","Units",,,11.7069002349925,,
"AUS","Australia","MW","All persons","LPI","Low Pay Incidence","1978","1978","IDX","Index","0","Units",,,12.7723215337149,,
"AUS","Australia","MW","All persons","LPI","Low Pay Incidence","1979","1979","IDX","Index","0","Units",,,13.5898865960216,,
"AUS","Australia","MW","All persons","LPI","Low Pay Incidence","1980","1980","IDX","Index","0","Units",,,13.5403240655496,,
"AUS","Australia","MW","All persons","LPI","Low Pay Incidence","1981","1981","IDX","Index","0","Units",,,13.9344079050323,,
"AUS","Australia","MW","All persons","LPI","Low Pay Incidence","1982","1982","IDX","Index","0","Units",,,14.3622189583098,,
"AUS","Australia","MW","All persons","LPI","Low Pay Incidence","1983","1983","IDX","Index","0","Units",,,14.5797242048368,,
"AUS","Australia","MW","All persons","LPI","Low Pay Incidence","1984","1984","IDX","Index","0","Units",,,14.445819736694,,
"AUS","Australia","MW","All persons","LPI","Low Pay Incidence","1985","1985","IDX","Index","0","Units",,,13.4674207248641,,
"AUS","Australia","MW","All persons","LPI","Low Pay Incidence","1986","1986","IDX","Index","0","Units",,,13.9756087087216,,
"AUS","Australia","MW","All persons","LPI","Low Pay Incidence","1987","1987","IDX","Index","0","Units",,,13.9363885088919,,
"AUS","Australia","MW","All persons","LPI","Low Pay Incidence","1988","1988","IDX","Index","0","Units",,,14.5263885219583,,
"AUS","Australia","MW","All persons","LPI","Low Pay Incidence","1989","1989","IDX","Index","0","Units",,,14.5436760103277,,
"AUS","Australia","MW","All persons","LPI","Low Pay Incidence","1990","1990","IDX","Index","0","Units",,,14.740810635167,,
"AUS","Australia","MW","All persons","LPI","Low Pay Incidence","1991","1991","IDX","Index","0","Units",,,13.9151470797504,,
"AUS","Australia","MW","All persons","LPI","Low Pay Incidence","1992","1992","IDX","Index","0","Units",,,13.8645166837184,,
"AUS","Australia","MW","All persons","LPI","Low Pay Incidence","1993","1993","IDX","Index","0","Units",,,13.1674364785664,,
"AUS","Australia","MW","All persons","LPI","Low Pay Incidence","1994","1994","IDX","Index","0","Units",,,13.5079423222537,,
"AUS","Australia","MW","All persons","LPI","Low Pay Incidence","1995","1995","IDX","Index","0","Units",,,13.8290371671028,,
"AUS","Australia","MW","All persons","LPI","Low Pay Incidence","1997","1997","IDX","Index","0","Units",,,12.1775502145619,,
"AUS","Australia","MW","All persons","LPI","Low Pay Incidence","1998","1998","IDX","Index","0","Units",,,12.7617214281984,,
"AUS","Australia","MW","All persons","LPI","Low Pay Incidence","1999","1999","IDX","Index","0","Units",,,14.3537848280428,,
"AUS","Australia","MW","All persons","LPI","Low Pay Incidence","2000","2000","IDX","Index","0","Units",,,16.3548195076221,,
